id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	21	24	35	11	0	14	3	3
1	0	0	0	40	29	7	40	18	0
3	0	116	116	146	30	0	30	0	0
4	0	368	368	385	17	0	17	0	0
5	0	448	448	461	13	0	13	0	0
6	0	533	533	553	17	3	20	6	0
7	0	649	649	677	28	0	28	0	0
8	0	788	788	945	84	73	157	146	0
9	0	1005	1005	1014	9	0	9	0	0
10	0	1174	1174	1218	24	20	44	40	0
11	0	1669	1669	1695	21	5	26	10	0
12	0	1831	1831	1835	4	0	4	0	0
13	0	2088	2088	2145	48	9	57	18	0
14	0	2373	2373	2376	3	0	3	0	0
15	0	2606	2606	2610	4	0	4	0	0
16	0	2708	2708	2752	44	0	44	0	0
17	0	2929	2929	2981	41	11	52	22	0
18	0	3116	3116	3118	2	0	2	0	0
19	0	3412	3412	3422	10	0	10	0	0
20	0	3431	3431	3470	38	1	39	2	0
21	0	3626	3626	3729	83	20	103	40	0
22	0	4010	4010	4081	51	20	71	40	0
23	0	4177	4177	4228	11	32	51	72	0
24	0	4188	4188	4243	45	1	55	11	0
25	0	4489	4489	4492	3	0	3	0	0
26	0	4553	4553	4676	114	9	123	18	0
27	0	4756	4756	4771	15	0	15	0	0
28	0	4774	4774	4811	37	0	37	0	0
29	0	4785	4811	4825	14	0	40	26	26
30	0	5359	5359	5396	36	1	37	2	0
31	0	5389	5396	5411	3	12	22	31	7
32	0	5590	5590	5615	25	0	25	0	0
33	0	5753	5753	5778	25	0	25	0	0
34	0	6132	6132	6167	22	13	35	26	0
35	0	6382	6382	6389	7	0	7	0	0
36	0	6579	6579	6580	1	0	1	0	0
37	0	6593	6593	6666	40	33	73	66	0
38	0	6827	6827	6879	42	10	52	20	0
39	0	7250	7250	7280	29	1	30	2	0
40	0	7606	7606	7610	3	1	4	2	0
41	0	7636	7636	7683	39	8	47	16	0
42	0	7760	7760	7833	71	2	73	4	0
43	0	7898	7898	7921	8	15	23	30	0
44	0	7988	7988	8023	35	0	35	0	0
45	0	8024	8024	8026	2	0	2	0	0
46	0	8050	8050	8070	19	1	20	2	0
47	0	8569	8569	8578	9	0	9	0	0
48	0	9036	9036	9099	34	29	63	58	0
49	0	9273	9273	9290	17	0	17	0	0
50	0	9386	9386	9434	12	22	48	58	0
51	0	9389	9392	9446	48	2	57	11	3
52	0	9945	9945	9975	20	10	30	20	0
0	0	0	0	10007	8600	0	10007	1407	0
