id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	5	21	24	35	11	0	14	3	3
1	15	0	0	40	29	7	40	18	0
3	5	116	116	146	30	0	30	0	0
4	5	368	368	385	17	0	17	0	0
5	5	448	448	461	13	0	13	0	0
6	5	533	533	553	17	3	20	6	0
7	5	649	649	677	28	0	28	0	0
8	23	788	788	945	84	73	157	146	0
9	5	1005	1005	1014	9	0	9	0	0
10	6	1174	1174	1218	24	20	44	40	0
11	9	1669	1669	1695	21	5	26	10	0
12	5	1831	1831	1835	4	0	4	0	0
13	15	2088	2088	2145	48	9	57	18	0
14	5	2373	2373	2376	3	0	3	0	0
15	5	2606	2606	2610	4	0	4	0	0
16	5	2708	2708	2752	44	0	44	0	0
17	3	2929	2929	2981	41	11	52	22	0
18	5	3116	3116	3118	2	0	2	0	0
19	5	3412	3412	3422	10	0	10	0	0
20	9	3431	3431	3470	38	1	39	2	0
21	24	3626	3626	3729	83	20	103	40	0
22	7	4010	4010	4081	51	20	71	40	0
23	3	4177	4177	4228	11	32	51	72	0
24	18	4188	4188	4243	45	1	55	11	0
25	5	4489	4489	4492	3	0	3	0	0
26	29	4553	4553	4676	114	9	123	18	0
27	5	4756	4756	4771	15	0	15	0	0
28	5	4774	4774	4811	37	0	37	0	0
29	5	4785	4811	4825	14	0	40	26	26
30	12	5359	5359	5396	36	1	37	2	0
31	4	5389	5396	5411	3	12	22	31	7
32	5	5590	5590	5615	25	0	25	0	0
33	5	5753	5753	5778	25	0	25	0	0
34	7	6132	6132	6167	22	13	35	26	0
35	5	6382	6382	6389	7	0	7	0	0
36	5	6579	6579	6580	1	0	1	0	0
37	14	6593	6593	6666	40	33	73	66	0
38	6	6827	6827	6879	42	10	52	20	0
39	15	7250	7250	7280	29	1	30	2	0
40	4	7606	7606	7610	3	1	4	2	0
41	21	7636	7636	7683	39	8	47	16	0
42	31	7760	7760	7833	71	2	73	4	0
43	6	7898	7898	7921	8	15	23	30	0
44	5	7988	7988	8023	35	0	35	0	0
45	5	8024	8024	8026	2	0	2	0	0
46	9	8050	8050	8070	19	1	20	2	0
47	5	8569	8569	8578	9	0	9	0	0
48	11	9036	9036	9099	34	29	63	58	0
49	5	9273	9273	9290	17	0	17	0	0
50	6	9386	9386	9434	12	22	48	58	0
51	21	9389	9392	9446	48	2	57	11	3
52	3	9945	9945	9975	20	10	30	20	0
0	0	0	0	10007	8600	0	10007	1407	0
