id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	113	34	0	34	0	0
3	0	109	113	193	52	28	84	60	4
1	0	0	0	222	111	61	222	172	0
4	0	691	691	903	188	24	212	48	0
6	0	860	903	909	6	0	49	43	43
5	0	811	909	918	9	0	107	98	98
7	0	947	947	1041	86	8	94	16	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1660	14	4	18	8	0
9	0	1510	1510	1735	99	126	225	252	0
12	0	1811	1883	1948	20	13	137	130	72
11	0	1756	1756	1999	178	1	243	66	0
13	0	1878	1890	2140	184	31	262	109	12
14	0	2212	2212	2288	64	12	76	24	0
16	0	2416	2539	2692	64	39	276	251	123
18	0	2794	2797	2805	8	0	11	3	3
20	0	2980	3027	3055	28	0	75	47	47
17	0	2786	2805	3085	193	3	299	109	19
15	0	2329	2329	3160	478	76	831	429	0
19	0	2875	2968	3240	139	8	365	234	93
21	0	3198	3247	3297	50	0	99	49	49
22	0	3229	3240	3410	120	4	181	65	11
23	0	3515	3515	3534	19	0	19	0	0
24	0	3517	3534	3589	54	1	72	19	17
25	0	3805	3805	3936	82	49	131	98	0
26	0	4022	4022	4045	22	1	23	2	0
27	0	4060	4060	4092	32	0	32	0	0
28	0	4492	4492	4509	17	0	17	0	0
29	0	4606	4606	4619	13	0	13	0	0
30	0	4848	4848	4888	28	12	40	24	0
33	0	4912	4942	5003	26	8	91	73	30
34	0	4922	5003	5036	33	0	114	81	81
32	0	4891	4945	5069	50	15	178	143	54
35	0	5060	5069	5084	15	0	24	9	9
31	0	4880	4888	5220	201	32	340	171	8
36	0	5136	5220	5318	66	32	182	148	84
37	0	5312	5318	5506	120	57	194	131	6
38	0	5411	5421	5508	51	20	97	66	10
39	0	5841	5841	5888	40	7	47	14	0
40	0	6096	6096	6140	22	22	44	44	0
41	0	6625	6625	6780	116	19	155	58	0
42	0	6693	6697	6834	69	68	141	140	4
43	0	6973	6973	7045	47	25	72	50	0
45	0	7166	7189	7206	17	0	40	23	23
44	0	7165	7165	7303	121	12	138	29	0
48	0	7289	7314	7430	67	14	141	88	25
46	0	7262	7303	7462	48	67	200	219	41
47	0	7264	7331	7589	110	15	325	230	67
50	0	7510	7589	7726	95	16	216	137	79
49	0	7352	7503	7826	185	38	474	327	151
51	0	7691	7736	7859	51	38	168	155	45
53	0	7943	7943	8107	103	3	164	64	0
54	0	8075	8107	8113	6	0	38	32	32
52	0	7756	7859	8141	159	40	385	266	103
55	0	8297	8297	8341	44	0	44	0	0
56	0	8332	8341	8366	15	10	34	29	9
57	0	8439	8439	8560	58	63	121	126	0
58	0	8541	8560	8568	8	0	27	19	19
59	0	8739	8739	8783	44	0	44	0	0
60	0	8758	8783	8857	67	7	99	39	25
61	0	9024	9024	9213	184	5	189	10	0
62	0	9050	9134	9253	45	3	203	161	84
63	0	9243	9253	9298	32	13	55	36	10
64	0	9548	9548	9619	71	0	71	0	0
65	0	9723	9723	9767	44	0	44	0	0
66	0	9984	9984	9993	9	0	9	0	0
0	0	0	0	10035	5203	0	10035	4832	0
