id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	98	149	51	0	70	19	19
3	0	109	149	254	77	28	145	96	40
1	0	0	0	298	168	61	298	191	0
4	0	691	691	996	281	24	305	48	0
5	0	811	996	1009	13	0	198	185	185
6	0	860	1009	1018	9	0	158	149	149
8	0	1052	1107	1108	1	0	56	55	55
7	0	947	1018	1154	128	8	207	87	71
10	0	1642	1642	1666	20	4	24	8	0
9	0	1510	1510	1784	148	126	274	252	0
11	0	1756	1784	2129	267	1	373	107	28
12	0	1811	1975	2148	30	13	337	320	164
13	0	1878	1986	2357	274	31	479	236	108
14	0	2212	2357	2766	95	12	554	471	145
18	0	2794	3208	3220	12	0	426	414	414
16	0	2416	2766	3252	97	39	836	778	350
20	0	2980	3340	3381	41	0	401	360	360
21	0	3198	3537	3612	75	0	414	339	339
17	0	2786	2964	3656	288	3	870	585	178
19	0	2875	3252	3785	207	8	910	711	377
23	0	3515	3785	3813	28	0	298	270	270
15	0	2329	2388	3995	715	76	1666	1027	59
22	0	3229	3656	4165	180	4	936	760	427
24	0	3517	3813	4214	80	1	697	618	296
27	0	4060	4236	4283	47	0	223	176	176
26	0	4022	4214	4294	33	1	272	240	192
25	0	3805	4165	4377	122	49	572	499	360
28	0	4492	4492	4518	26	0	26	0	0
29	0	4606	4606	4625	19	0	19	0	0
30	0	4848	4848	4901	41	12	53	24	0
34	0	4922	5011	5061	50	0	139	89	89
33	0	4912	5007	5122	38	8	210	180	95
32	0	4891	4982	5171	74	15	280	221	91
35	0	5060	5171	5193	22	0	133	111	111
31	0	4880	4901	5415	302	32	535	265	21
36	0	5136	5255	5698	97	32	562	497	119
38	0	5411	5570	5700	75	20	289	234	159
37	0	5312	5453	5739	180	57	427	304	141
39	0	5841	5841	5907	59	7	66	14	0
40	0	6096	6096	6151	33	22	55	44	0
41	0	6625	6625	6858	174	19	233	78	0
42	0	6693	6733	6904	103	68	211	176	40
43	0	6973	6973	7068	70	25	95	50	0
45	0	7166	7200	7225	25	0	59	34	34
44	0	7165	7165	7370	180	12	205	37	0
48	0	7289	7451	7711	99	14	422	337	162
46	0	7262	7370	7865	72	67	603	598	108
47	0	7264	7386	7902	163	15	638	490	122
50	0	7510	7711	8132	141	16	622	497	201
51	0	7691	7902	8217	77	38	526	487	211
54	0	8075	8308	8317	9	0	242	233	233
49	0	7352	7476	8424	277	38	1072	833	124
53	0	7943	8147	8559	155	3	616	464	204
55	0	8297	8559	8625	66	0	328	262	262
52	0	7756	7929	8666	237	40	910	713	173
58	0	8541	8682	8694	12	0	153	141	141
56	0	8332	8666	8702	22	10	370	358	334
59	0	8739	8739	8805	66	0	66	0	0
57	0	8439	8680	8889	86	63	450	427	241
60	0	8758	8889	8996	100	7	238	145	131
61	0	9024	9024	9306	275	5	282	12	0
62	0	9050	9188	9366	67	3	316	252	138
63	0	9243	9366	9426	47	13	183	149	123
64	0	9548	9548	9655	107	0	107	0	0
65	0	9723	9723	9788	65	0	65	0	0
66	0	9984	9984	9998	14	0	14	0	0
0	0	0	0	10035	2823	0	10035	7212	0
