id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	82	124	42	0	45	3	3
3	0	109	124	217	65	28	108	71	15
1	0	0	0	254	140	61	254	175	0
4	0	691	691	949	234	24	258	48	0
6	0	860	954	962	8	0	102	94	94
5	0	811	962	973	11	0	162	151	151
7	0	947	949	1079	107	8	132	33	2
8	0	1052	1079	1080	1	0	28	27	27
10	0	1642	1642	1663	17	4	21	8	0
9	0	1510	1510	1759	123	126	249	252	0
12	0	1811	1918	1999	25	13	188	176	107
11	0	1756	1759	2062	222	1	306	85	3
13	0	1878	1927	2237	229	31	359	161	49
14	0	2212	2237	2329	80	12	117	49	25
16	0	2416	2591	2783	81	39	367	325	175
18	0	2794	2913	2923	10	0	129	119	119
20	0	2980	2997	3031	34	0	51	17	17
15	0	2329	2329	3124	596	76	795	275	0
19	0	2875	2923	3223	173	8	348	183	48
21	0	3198	3223	3285	62	0	87	25	25
22	0	3229	3285	3639	150	4	410	264	56
23	0	3515	3639	3662	23	0	147	124	124
17	0	2786	3293	3699	241	3	913	675	507
24	0	3517	3699	3768	68	1	251	184	182
25	0	3805	3805	3955	101	49	150	98	0
26	0	4022	4022	4051	28	1	29	2	0
27	0	4060	4060	4099	39	0	39	0	0
28	0	4492	4492	4514	22	0	22	0	0
29	0	4606	4606	4622	16	0	16	0	0
30	0	4848	4848	4894	34	12	46	24	0
33	0	4912	4915	5015	32	8	103	79	3
32	0	4891	4894	5079	62	15	188	141	3
35	0	5060	5079	5097	18	0	37	19	19
34	0	4922	5097	5139	42	0	217	175	175
31	0	4880	4919	5356	252	32	476	256	39
36	0	5136	5139	5479	82	32	343	293	3
37	0	5312	5357	5603	150	57	291	198	45
38	0	5411	5499	5605	63	20	194	151	88
39	0	5841	5841	5897	49	7	56	14	0
40	0	6096	6096	6146	28	22	50	44	0
41	0	6625	6625	6819	145	19	194	68	0
42	0	6693	6715	6869	86	68	176	158	22
43	0	6973	6973	7056	58	25	83	50	0
45	0	7166	7194	7215	21	0	49	28	28
44	0	7165	7165	7336	150	12	171	33	0
46	0	7262	7336	7471	59	67	209	217	74
47	0	7264	7376	7589	137	15	325	203	112
48	0	7289	7349	7651	83	14	362	293	60
50	0	7510	7522	7833	118	16	323	221	12
51	0	7691	7728	7874	64	38	183	157	37
54	0	8075	8121	8128	7	0	53	46	46
49	0	7352	7651	8218	233	38	866	671	299
52	0	7756	7927	8253	199	40	497	338	171
53	0	7943	8028	8366	130	3	423	296	85
55	0	8297	8378	8433	55	0	136	81	81
56	0	8332	8366	8440	19	10	108	99	34
57	0	8439	8440	8575	72	63	136	127	1
58	0	8541	8575	8585	10	0	44	34	34
59	0	8739	8739	8794	55	0	55	0	0
60	0	8758	8794	8884	83	7	126	50	36
61	0	9024	9024	9259	229	5	235	11	0
62	0	9050	9161	9334	56	3	284	231	111
63	0	9243	9259	9349	40	13	106	79	16
64	0	9548	9548	9637	89	0	89	0	0
65	0	9723	9723	9777	54	0	54	0	0
66	0	9984	9984	9995	11	0	11	0	0
0	0	0	0	10035	4012	0	10035	6023	0
