id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	82	124	42	0	45	3	3
3	0	109	124	217	65	28	108	71	15
1	0	0	0	254	140	61	254	175	0
4	0	691	691	949	234	24	258	48	0
5	0	811	949	960	11	0	149	138	138
6	0	860	960	968	8	0	108	100	100
7	0	947	968	1083	107	8	136	37	21
8	0	1052	1083	1084	1	0	32	31	31
10	0	1642	1642	1663	17	4	21	8	0
9	0	1510	1510	1759	123	126	249	252	0
11	0	1756	1759	2046	222	1	290	69	3
12	0	1811	1918	2062	25	13	251	239	107
13	0	1878	1927	2237	229	31	359	161	49
14	0	2212	2237	2329	80	12	117	49	25
16	0	2416	2591	2783	81	39	367	325	175
18	0	2794	3117	3127	10	0	333	323	323
15	0	2329	2329	3294	596	76	965	445	0
20	0	2980	3294	3328	34	0	348	314	314
17	0	2786	2913	3365	241	3	579	341	127
21	0	3198	3365	3427	62	0	229	167	167
19	0	2875	3127	3526	173	8	651	486	252
23	0	3515	3534	3557	23	0	42	19	19
22	0	3229	3526	3758	150	4	529	383	297
24	0	3517	3557	3767	68	1	250	183	40
25	0	3805	3805	3955	101	49	150	98	0
26	0	4022	4022	4051	28	1	29	2	0
27	0	4060	4060	4099	39	0	39	0	0
28	0	4492	4492	4514	22	0	22	0	0
29	0	4606	4606	4622	16	0	16	0	0
30	0	4848	4848	4894	34	12	46	24	0
34	0	4922	4987	5029	42	0	107	65	65
33	0	4912	4983	5080	32	8	168	144	71
32	0	4891	4962	5121	62	15	230	183	71
35	0	5060	5121	5139	18	0	79	61	61
31	0	4880	4894	5324	252	32	444	224	14
36	0	5136	5190	5536	82	32	400	350	54
37	0	5312	5356	5593	150	57	281	188	44
38	0	5411	5454	5595	63	20	184	141	43
39	0	5841	5841	5897	49	7	56	14	0
40	0	6096	6096	6146	28	22	50	44	0
41	0	6625	6625	6819	145	19	194	68	0
42	0	6693	6715	6869	86	68	176	158	22
43	0	6973	6973	7056	58	25	83	50	0
45	0	7166	7194	7215	21	0	49	28	28
44	0	7165	7165	7336	150	12	171	33	0
48	0	7289	7404	7621	83	14	332	263	115
46	0	7262	7336	7750	59	67	488	496	74
47	0	7264	7349	7781	137	15	517	395	85
50	0	7510	7621	7863	118	16	353	251	111
49	0	7352	7425	8077	233	38	725	530	73
51	0	7691	7863	8118	64	38	427	401	172
54	0	8075	8211	8218	7	0	143	136	136
53	0	7943	8118	8331	130	3	388	261	175
52	0	7756	7899	8366	199	40	610	451	143
55	0	8297	8366	8421	55	0	124	69	69
56	0	8332	8421	8450	19	10	118	109	89
57	0	8439	8439	8574	72	63	135	126	0
58	0	8541	8574	8584	10	0	43	33	33
59	0	8739	8739	8794	55	0	55	0	0
60	0	8758	8794	8884	83	7	126	50	36
61	0	9024	9024	9259	229	5	235	11	0
62	0	9050	9161	9309	56	3	259	206	111
63	0	9243	9309	9362	40	13	119	92	66
64	0	9548	9548	9637	89	0	89	0	0
65	0	9723	9723	9777	54	0	54	0	0
66	0	9984	9984	9995	11	0	11	0	0
0	0	0	0	10035	4012	0	10035	6023	0
