id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	34	8	26	34	52	0
2	7	182	182	235	44	9	53	18	0
3	5	719	719	720	1	0	1	0	0
4	5	779	779	835	48	8	56	16	0
5	6	1064	1064	1103	17	22	39	44	0
6	5	1463	1463	1494	31	0	31	0	0
7	10	1633	1633	1670	27	10	37	20	0
8	5	1834	1834	1847	13	0	13	0	0
10	5	1903	1920	1922	2	0	19	17	17
9	13	1880	1880	1944	32	32	64	64	0
11	5	2193	2193	2218	25	0	25	0	0
12	5	2676	2676	2677	1	0	1	0	0
13	11	3170	3170	3409	73	166	239	332	0
14	8	3543	3543	3781	116	122	238	244	0
15	5	4670	4670	4675	5	0	5	0	0
16	5	5035	5035	5058	23	0	23	0	0
17	5	5315	5315	5449	95	39	134	78	0
18	5	5500	5500	5512	12	0	12	0	0
19	5	5721	5721	5735	14	0	14	0	0
20	7	6144	6144	6215	59	12	71	24	0
21	5	6500	6500	6521	21	0	21	0	0
22	5	6572	6572	6573	1	0	1	0	0
23	5	6949	6949	7027	78	0	78	0	0
24	35	7522	7522	7627	78	27	105	54	0
25	25	7763	7763	7925	97	65	162	130	0
26	5	7925	7925	7964	39	0	39	0	0
27	5	7928	7964	7977	13	0	49	36	36
28	5	8950	8950	8976	26	0	26	0	0
29	24	9023	9023	9088	62	3	65	6	0
30	8	9509	9509	9541	19	13	32	26	0
32	5	9778	9778	9801	23	0	23	0	0
31	6	9768	9768	9803	9	15	35	41	0
0	0	0	0	10932	9820	0	10932	1112	0
