id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	34	8	26	34	52	0
2	7	146	146	199	44	9	53	18	0
3	5	576	576	577	1	0	1	0	0
4	5	624	624	680	48	8	56	16	0
5	6	852	852	891	17	22	39	44	0
6	5	1172	1172	1203	31	0	31	0	0
7	10	1308	1308	1345	27	10	37	20	0
8	5	1469	1469	1482	13	0	13	0	0
10	5	1525	1525	1527	2	0	2	0	0
9	13	1506	1506	1571	32	32	65	65	0
11	5	1757	1757	1782	25	0	25	0	0
12	5	2143	2143	2144	1	0	1	0	0
13	11	2538	2538	2777	73	166	239	332	0
14	8	2836	2836	3074	116	122	238	244	0
15	5	3738	3738	3743	5	0	5	0	0
16	5	4030	4030	4053	23	0	23	0	0
17	5	4254	4254	4388	95	39	134	78	0
18	5	4402	4402	4414	12	0	12	0	0
19	5	4579	4579	4593	14	0	14	0	0
20	7	4917	4917	4988	59	12	71	24	0
21	5	5202	5202	5223	21	0	21	0	0
22	5	5260	5260	5261	1	0	1	0	0
23	5	5561	5561	5639	78	0	78	0	0
24	35	6020	6020	6125	78	27	105	54	0
25	25	6213	6213	6375	97	65	162	130	0
26	5	6342	6375	6414	39	0	72	33	33
27	5	6345	6414	6427	13	0	82	69	69
28	5	7162	7162	7188	26	0	26	0	0
29	24	7220	7220	7285	62	3	65	6	0
30	8	7609	7609	7641	19	13	32	26	0
32	5	7825	7825	7848	23	0	23	0	0
31	6	7817	7817	7850	9	15	33	39	0
33	5	8748	8748	8750	2	0	2	0	0
35	27	8833	8837	8914	49	3	81	35	4
34	17	8830	8830	8956	46	34	126	114	0
36	5	8959	8959	8963	4	0	4	0	0
37	5	8981	8981	9011	30	0	30	0	0
38	9	9086	9086	9128	15	23	42	50	0
40	18	9133	9133	9216	41	42	83	84	0
39	7	9112	9112	9243	52	69	131	148	0
41	5	9425	9425	9457	32	0	32	0	0
42	5	9471	9471	9486	15	0	15	0	0
43	13	9536	9536	9630	77	17	94	34	0
44	14	9631	9631	9712	47	34	81	68	0
45	15	9702	9712	9744	28	4	42	18	10
47	5	9910	9910	9911	1	0	1	0	0
46	9	9898	9898	9921	22	1	23	2	0
0	0	0	0	10025	8452	0	10025	1573	0
