id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	53	53	66	13	0	13	0	0
1	0	0	0	110	43	61	110	128	0
3	0	73	73	128	20	28	55	63	0
4	0	461	461	556	71	24	95	48	0
5	0	541	556	560	4	0	19	15	15
6	0	574	574	577	3	0	3	0	0
7	0	632	632	673	33	8	41	16	0
8	0	702	702	703	1	0	1	0	0
10	0	1095	1095	1105	6	4	10	8	0
9	0	1007	1007	1172	39	126	165	252	0
11	0	1171	1172	1242	67	1	71	5	1
12	0	1208	1220	1247	8	13	39	44	12
13	0	1253	1253	1353	69	31	100	62	0
14	0	1476	1476	1512	24	12	36	24	0
16	0	1612	1633	1709	25	39	97	111	21
15	0	1554	1554	1810	180	76	256	152	0
18	0	1864	1920	1923	3	0	59	56	56
17	0	1859	1859	1956	72	3	97	28	0
19	0	1918	1923	1986	52	8	68	24	5
20	0	1988	1988	1999	11	0	11	0	0
21	0	2133	2133	2152	19	0	19	0	0
22	0	2154	2154	2204	46	4	50	8	0
23	0	2345	2345	2352	7	0	7	0	0
24	0	2347	2352	2374	21	1	27	7	5
25	0	2539	2539	2619	31	49	80	98	0
26	0	2684	2684	2694	9	1	10	2	0
27	0	2710	2710	2722	12	0	12	0	0
28	0	2998	2998	3005	7	0	7	0	0
29	0	3074	3074	3079	5	0	5	0	0
30	0	3235	3235	3258	11	12	23	24	0
34	0	3284	3287	3300	13	0	16	3	3
33	0	3277	3286	3316	10	8	39	37	9
32	0	3263	3279	3329	20	15	66	61	16
31	0	3256	3258	3385	77	32	129	84	2
35	0	3376	3385	3391	6	0	15	9	9
36	0	3427	3427	3485	26	32	58	64	0
37	0	3544	3544	3649	46	57	105	116	0
38	0	3610	3610	3650	20	20	40	40	0
39	0	3897	3897	3920	16	7	23	14	0
40	0	4067	4067	4098	9	22	31	44	0
41	0	4420	4420	4498	44	19	78	53	0
42	0	4466	4466	4560	26	68	94	136	0
43	0	4653	4653	4696	18	25	43	50	0
45	0	4782	4790	4797	7	0	15	8	8
44	0	4781	4781	4839	46	12	58	24	0
48	0	4865	4867	4912	26	14	47	35	2
47	0	4848	4850	4922	43	15	74	46	2
46	0	4846	4846	4957	18	67	111	160	0
49	0	4907	4922	5030	70	38	123	91	15
50	0	5013	5030	5082	36	16	69	49	17
51	0	5134	5134	5218	20	38	84	102	0
52	0	5178	5178	5279	61	40	101	80	0
53	0	5303	5303	5345	39	3	42	6	0
54	0	5391	5391	5394	3	0	3	0	0
55	0	5539	5539	5556	17	0	17	0	0
56	0	5563	5563	5579	6	10	16	20	0
57	0	5635	5635	5720	22	63	85	126	0
58	0	5703	5720	5723	3	0	20	17	17
59	0	5835	5835	5852	17	0	17	0	0
60	0	5848	5852	5885	26	7	37	18	4
61	0	6026	6026	6100	69	5	74	10	0
62	0	6044	6067	6115	17	3	71	57	23
63	0	6173	6173	6199	13	13	26	26	0
64	0	6376	6376	6403	27	0	27	0	0
65	0	6493	6493	6510	17	0	17	0	0
66	0	6667	6667	6671	4	0	4	0	0
67	0	6701	6701	6741	21	19	40	38	0
68	0	6702	6718	6781	31	30	79	78	16
69	0	6746	6756	6909	88	50	163	125	10
70	0	6897	6909	6911	2	0	14	12	12
71	0	6992	6992	6993	1	0	1	0	0
72	0	7017	7017	7030	8	5	13	10	0
73	0	7152	7152	7188	9	27	36	54	0
74	0	7419	7419	7427	8	0	8	0	0
76	0	7535	7550	7694	107	18	159	70	15
75	0	7527	7527	7732	74	53	205	184	0
77	0	7578	7674	7829	69	48	251	230	96
81	0	7792	7829	7838	9	0	46	37	37
79	0	7749	7784	7903	70	19	154	103	35
78	0	7687	7694	7919	36	28	232	224	7
80	0	7766	7789	7942	35	23	176	164	23
82	0	8088	8088	8150	50	12	62	24	0
83	0	8261	8261	8271	10	0	10	0	0
84	0	8262	8271	8332	17	31	70	84	9
85	0	8284	8284	8407	91	32	123	64	0
86	0	8403	8407	8431	13	11	28	26	4
87	0	8522	8522	8612	42	10	90	58	0
88	0	8525	8553	8619	48	8	94	54	28
89	0	8540	8594	8647	35	2	107	74	54
90	0	8613	8647	8658	11	0	45	34	34
91	0	8745	8745	8801	44	12	56	24	0
92	0	8866	8866	8955	50	39	89	78	0
93	0	9003	9003	9059	45	11	56	22	0
94	0	9070	9070	9117	22	23	47	48	0
96	0	9104	9117	9118	1	0	14	13	13
95	0	9088	9088	9162	37	37	74	74	0
97	0	9195	9195	9199	4	0	4	0	0
99	0	9380	9380	9381	1	0	1	0	0
98	0	9323	9323	9419	57	37	96	76	0
100	0	9400	9400	9437	7	23	37	53	0
0	0	0	0	9437	6434	0	9437	3003	0
