id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	5	79	79	92	13	0	13	0	0
1	11	0	0	104	43	61	104	122	0
3	4	109	109	157	20	28	48	56	0
4	12	691	691	786	71	24	95	48	0
5	5	811	811	815	4	0	4	0	0
6	5	860	860	863	3	0	3	0	0
7	12	947	947	988	33	8	41	16	0
8	5	1052	1052	1053	1	0	1	0	0
10	5	1642	1642	1652	6	4	10	8	0
9	4	1510	1510	1675	39	126	165	252	0
11	27	1756	1756	1824	67	1	68	2	0
12	4	1811	1824	1845	8	13	34	39	13
13	13	1878	1878	1978	69	31	100	62	0
14	7	2212	2212	2248	24	12	36	24	0
16	11	2416	2416	2484	25	39	68	82	0
15	39	2329	2329	2585	180	76	256	152	0
18	5	2794	2847	2850	3	0	56	53	53
17	33	2786	2786	2861	72	3	75	6	0
19	14	2875	2875	2935	52	8	60	16	0
20	5	2980	2980	2991	11	0	11	0	0
21	5	3198	3198	3217	19	0	19	0	0
22	4	3229	3229	3279	46	4	50	8	0
23	5	3515	3515	3522	7	0	7	0	0
24	12	3517	3522	3544	21	1	27	7	5
25	8	3805	3805	3885	31	49	80	98	0
26	6	4022	4022	4032	9	1	10	2	0
27	5	4060	4060	4072	12	0	12	0	0
28	5	4492	4492	4499	7	0	7	0	0
29	5	4606	4606	4611	5	0	5	0	0
30	4	4848	4848	4871	11	12	23	24	0
33	3	4912	4912	4930	10	8	18	16	0
34	5	4922	4930	4943	13	0	21	8	8
32	6	4891	4901	4956	20	15	65	60	10
31	13	4880	4880	5012	77	32	132	87	0
35	5	5060	5060	5066	6	0	6	0	0
36	5	5136	5136	5194	26	32	58	64	0
37	12	5312	5312	5415	46	57	103	114	0
38	8	5411	5415	5455	20	20	44	44	4
39	5	5841	5841	5864	16	7	23	14	0
40	3	6096	6096	6127	9	22	31	44	0
41	16	6625	6625	6688	44	19	63	38	0
42	10	6693	6693	6787	26	68	94	136	0
43	9	6973	6973	7016	18	25	43	50	0
45	5	7166	7174	7181	7	0	15	8	8
44	7	7165	7165	7223	46	12	58	24	0
48	6	7289	7289	7331	26	14	42	30	0
47	14	7264	7266	7341	43	15	77	49	2
46	4	7262	7262	7353	18	67	91	140	0
49	10	7352	7353	7461	70	38	109	77	1
50	8	7510	7510	7562	36	16	52	32	0
51	6	7691	7691	7749	20	38	58	76	0
52	20	7756	7756	7857	61	40	101	80	0
53	5	7943	7943	7985	39	3	42	6	0
54	5	8075	8075	8078	3	0	3	0	0
55	5	8297	8297	8314	17	0	17	0	0
56	5	8332	8332	8348	6	10	16	20	0
57	3	8439	8439	8524	22	63	85	126	0
58	5	8541	8541	8544	3	0	3	0	0
59	5	8739	8739	8756	17	0	17	0	0
60	12	8758	8758	8791	26	7	33	14	0
61	23	9024	9024	9098	69	5	74	10	0
62	4	9050	9065	9113	17	3	63	49	15
63	7	9243	9243	9269	13	13	26	26	0
64	5	9548	9548	9575	27	0	27	0	0
65	5	9723	9723	9740	17	0	17	0	0
66	5	9984	9984	9988	4	0	4	0	0
0	0	0	0	10035	8185	0	10035	1850	0
