id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	27	27	40	13	0	13	0	0
3	0	37	40	88	20	28	51	59	3
1	0	0	0	104	43	61	104	122	0
5	0	271	271	275	4	0	4	0	0
4	0	231	231	328	71	24	97	50	0
6	0	288	328	331	3	0	43	40	40
8	0	352	357	358	1	0	6	5	5
7	0	317	331	372	33	8	55	30	14
10	0	549	549	561	6	4	12	10	0
11	0	587	587	674	67	1	87	21	0
12	0	606	635	679	8	13	73	78	29
9	0	505	505	697	39	126	192	279	0
13	0	629	638	751	69	31	122	84	9
14	0	741	751	787	24	12	46	34	10
16	0	809	866	942	25	39	133	147	57
18	0	936	1003	1006	3	0	70	67	67
20	0	998	1067	1078	11	0	80	69	69
17	0	933	942	1089	72	3	156	87	9
15	0	780	787	1117	180	76	337	233	7
21	0	1071	1117	1136	19	0	65	46	46
19	0	963	1045	1166	52	8	203	159	82
22	0	1082	1166	1216	46	4	134	92	84
23	0	1178	1216	1223	7	0	45	38	38
24	0	1179	1223	1245	21	1	66	46	44
25	0	1275	1275	1355	31	49	80	98	0
27	0	1361	1361	1373	12	0	12	0	0
26	0	1348	1355	1376	9	1	28	20	7
28	0	1505	1505	1512	7	0	7	0	0
29	0	1543	1543	1548	5	0	5	0	0
30	0	1624	1624	1665	11	12	41	42	0
34	0	1650	1673	1686	13	0	36	23	23
33	0	1646	1672	1702	10	8	56	54	26
32	0	1639	1665	1715	20	15	76	71	26
35	0	1696	1715	1721	6	0	25	19	19
31	0	1635	1635	1777	77	32	142	97	0
36	0	1722	1737	1844	26	32	122	128	15
38	0	1814	1818	1863	20	20	49	49	4
37	0	1781	1787	1893	46	57	112	123	6
39	0	1958	1958	1981	16	7	23	14	0
40	0	2043	2043	2074	9	22	31	44	0
41	0	2220	2220	2283	44	19	63	38	0
42	0	2243	2247	2341	26	68	98	140	4
43	0	2337	2341	2384	18	25	47	54	4
45	0	2402	2410	2417	7	0	15	8	8
44	0	2401	2401	2459	46	12	58	24	0
48	0	2444	2480	2547	26	14	103	91	36
47	0	2435	2463	2568	43	15	133	105	28
46	0	2434	2459	2596	18	67	162	211	25
50	0	2518	2547	2621	36	16	103	83	29
49	0	2465	2487	2686	70	38	221	189	22
51	0	2579	2621	2704	20	38	125	143	42
53	0	2664	2686	2761	39	3	97	61	22
54	0	2708	2761	2764	3	0	56	53	53
52	0	2601	2632	2775	61	40	174	153	31
55	0	2782	2782	2799	17	0	17	0	0
56	0	2794	2799	2815	6	10	21	25	5
58	0	2864	2864	2867	3	0	3	0	0
57	0	2830	2830	2915	22	63	85	126	0
59	0	2930	2930	2947	17	0	17	0	0
60	0	2937	2947	2980	26	7	43	24	10
61	0	3026	3026	3100	69	5	74	10	0
62	0	3035	3067	3115	17	3	80	66	32
63	0	3100	3115	3141	13	13	41	41	15
64	0	3202	3202	3229	27	0	27	0	0
65	0	3261	3261	3278	17	0	17	0	0
66	0	3348	3348	3352	4	0	4	0	0
67	0	3365	3365	3457	21	19	92	90	0
70	0	3464	3472	3474	2	0	10	8	8
68	0	3366	3382	3497	31	30	131	130	16
69	0	3388	3388	3526	88	50	138	100	0
71	0	3512	3526	3527	1	0	15	14	14
72	0	3525	3527	3540	8	5	15	12	2
73	0	3593	3593	3629	9	27	36	54	0
74	0	3727	3727	3735	8	0	8	0	0
81	0	3915	3986	3995	9	0	80	71	71
76	0	3785	3804	4009	107	18	224	135	19
75	0	3781	3781	4034	74	53	253	232	0
77	0	3807	3815	4073	69	48	266	245	8
79	0	3893	3974	4138	70	19	245	194	81
83	0	4150	4177	4187	10	0	37	27	27
80	0	3902	3979	4216	35	23	314	302	77
78	0	3862	3967	4225	36	28	363	355	105
84	0	4151	4187	4292	17	31	141	155	36
82	0	4063	4155	4306	50	12	243	205	92
86	0	4222	4275	4406	13	11	184	182	53
90	0	4329	4406	4417	11	0	88	77	77
87	0	4282	4306	4428	42	10	146	114	24
88	0	4284	4337	4435	48	8	151	111	53
89	0	4292	4396	4477	35	2	185	152	104
91	0	4395	4435	4547	44	12	152	120	40
85	0	4162	4216	4552	91	32	390	331	54
96	0	4576	4601	4602	1	0	26	25	25
94	0	4559	4578	4665	22	23	106	107	19
97	0	4622	4665	4669	4	0	47	43	43
93	0	4525	4552	4670	45	11	145	111	27
95	0	4568	4586	4692	37	37	124	124	18
99	0	4715	4731	4732	1	0	17	16	16
92	0	4456	4507	4737	50	39	281	270	51
100	0	4725	4737	4767	7	23	42	58	12
98	0	4686	4696	4792	57	37	106	86	10
0	0	0	0	4792	1789	0	4792	3003	0
