id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	16	89	41	0	73	32	0
1	0	0	0	221	113	7	221	115	0
3	0	88	89	272	118	0	184	66	1
4	0	277	277	365	68	0	88	20	0
5	0	337	337	397	52	0	60	8	0
6	0	401	401	466	62	3	65	6	0
7	0	488	488	618	110	0	130	20	0
9	0	755	755	796	34	0	41	7	0
10	0	882	882	1072	96	20	190	114	0
8	0	592	592	1102	328	73	510	255	0
11	0	1253	1253	1340	82	5	87	10	0
12	0	1374	1374	1390	16	0	16	0	0
13	0	1567	1567	1762	186	9	195	18	0
14	0	1781	1781	1791	10	0	10	0	0
15	0	1956	1956	1972	16	0	16	0	0
16	0	2033	2033	2225	174	0	192	18	0
18	0	2340	2340	2347	7	0	7	0	0
17	0	2199	2199	2378	161	11	179	29	0
19	0	2562	2562	2640	38	0	78	40	0
20	0	2576	2576	2790	149	1	214	66	0
21	0	2723	2723	3185	328	20	462	154	0
23	0	3136	3145	3302	39	32	166	159	9
25	0	3371	3391	3401	10	0	30	20	20
22	0	3011	3011	3519	198	20	508	330	0
24	0	3145	3151	3638	179	1	493	315	6
29	0	3592	3638	3814	56	0	222	166	46
27	0	3571	3584	3826	60	0	255	195	13
28	0	3584	3612	4010	145	0	426	281	28
31	0	4045	4065	4103	6	12	58	64	20
30	0	4023	4023	4265	138	1	242	105	0
32	0	4196	4216	4482	97	0	286	189	20
33	0	4319	4339	4560	98	0	241	143	20
26	0	3419	3439	4571	453	9	1152	708	20
34	0	4604	4604	4699	82	13	95	26	0
35	0	4792	4792	4819	27	0	27	0	0
36	0	4940	4940	4942	2	0	2	0	0
37	0	4951	4951	5138	154	33	187	66	0
38	0	5127	5127	5305	167	10	178	21	0
39	0	5444	5444	5559	114	1	115	2	0
40	0	5711	5711	5721	9	1	10	2	0
41	0	5733	5733	5996	152	8	263	119	0
45	0	6024	6063	6069	6	0	45	39	39
43	0	5929	5949	6073	31	15	144	128	20
46	0	6043	6073	6287	73	1	244	172	30
44	0	5997	5997	6401	138	0	404	266	0
42	0	5826	5826	6415	282	2	589	309	0
47	0	6432	6432	6468	36	0	36	0	0
48	0	6782	6782	6941	130	29	159	58	0
49	0	6960	6960	7026	66	0	66	0	0
50	0	7045	7045	7173	46	22	128	104	0
51	0	7047	7047	7280	187	2	233	48	0
53	0	7495	7495	7639	50	11	144	105	0
52	0	7464	7464	7643	76	10	179	113	0
54	0	7512	7532	7756	148	15	244	111	20
56	0	8236	8236	8354	37	7	118	88	0
55	0	8055	8055	8797	216	84	742	610	0
61	0	8423	8492	8810	50	0	387	337	69
62	0	8567	8667	8873	24	1	306	283	100
58	0	8268	8277	8965	110	0	697	587	9
66	0	8927	8994	9003	9	0	76	67	67
63	0	8707	8794	9055	45	0	348	303	87
57	0	8245	8245	9089	123	42	844	763	0
59	0	8319	8354	9425	196	4	1106	914	35
69	0	9430	9462	9468	6	0	38	32	32
64	0	8773	8819	9542	148	9	769	630	46
65	0	8830	8927	9816	145	65	986	906	97
71	0	9459	9511	9901	69	14	442	387	52
0	0	0	0	10018	4298	0	10018	5720	0
