id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	109	157	48	0	141	93	93
1	0	0	0	180	132	7	180	55	0
3	0	88	180	318	138	0	230	92	92
4	0	277	318	398	80	0	121	41	41
5	0	337	398	459	61	0	122	61	61
6	0	401	459	534	72	3	133	64	58
7	0	488	534	662	128	0	174	46	46
9	0	755	772	812	40	0	57	17	17
8	0	592	662	1139	384	73	547	236	70
10	0	882	1024	1219	113	20	337	244	142
11	0	1253	1253	1354	96	5	101	10	0
12	0	1374	1374	1393	19	0	19	0	0
13	0	1567	1567	1793	217	9	226	18	0
14	0	1781	1793	1804	11	0	23	12	12
15	0	1956	1956	1974	18	0	18	0	0
16	0	2033	2033	2236	203	0	203	0	0
17	0	2199	2236	2434	187	11	235	59	37
18	0	2340	2434	2442	8	0	102	94	94
19	0	2562	2562	2606	44	0	44	0	0
20	0	2576	2606	2780	173	1	204	32	30
21	0	2723	2780	3233	383	20	510	147	57
23	0	3136	3186	3276	45	32	140	127	50
25	0	3371	3416	3428	12	0	57	45	45
24	0	3145	3276	3496	208	1	351	144	131
22	0	3011	3022	3662	232	20	651	439	11
29	0	3592	3662	3727	65	0	135	70	70
27	0	3571	3727	3796	69	0	225	156	156
28	0	3584	3796	3965	169	0	381	212	212
31	0	4045	4211	4298	7	12	253	258	166
32	0	4196	4298	4411	113	0	215	102	102
30	0	4023	4217	4492	161	1	469	309	194
33	0	4319	4492	4606	114	0	287	173	173
26	0	3419	3965	4958	529	9	1539	1019	546
36	0	4940	4958	4960	2	0	20	18	18
35	0	4792	4976	5007	31	0	215	184	184
34	0	4604	4606	5018	96	13	414	331	2
38	0	5127	5142	5391	194	10	264	80	15
37	0	4951	5018	5392	180	33	441	294	67
39	0	5444	5444	5577	132	1	133	2	0
40	0	5711	5711	5722	10	1	11	2	0
45	0	6024	6163	6169	6	0	145	139	139
41	0	5733	5733	6182	177	8	449	280	0
43	0	5929	6182	6279	37	15	350	328	253
46	0	6043	6209	6304	85	1	261	177	166
42	0	5826	5897	6367	329	2	541	214	71
44	0	5997	6367	6528	161	0	531	370	370
47	0	6432	6528	6569	41	0	137	96	96
48	0	6782	6782	6962	151	29	180	58	0
49	0	6960	6962	7039	77	0	79	2	2
50	0	7045	7045	7263	53	22	218	187	0
51	0	7047	7073	7317	219	2	270	53	26
52	0	7464	7464	7564	90	10	100	20	0
53	0	7495	7567	7749	58	11	254	207	72
54	0	7512	7564	7800	173	15	288	130	52
56	0	8236	8236	8293	44	7	57	20	0
58	0	8268	8329	8458	129	0	190	61	61
61	0	8423	8516	8574	58	0	151	93	93
57	0	8245	8245	8639	143	42	394	293	0
62	0	8567	8574	8642	27	1	75	49	7
55	0	8055	8055	8782	251	84	727	560	0
63	0	8707	8817	8869	52	0	162	110	110
64	0	8773	8782	9027	172	9	254	91	9
66	0	8927	9027	9038	11	0	111	100	100
65	0	8830	8869	9362	170	65	532	427	39
59	0	8319	9127	9415	228	4	1096	872	808
69	0	9430	9485	9491	6	0	61	55	55
70	0	9432	9530	9627	97	0	195	98	98
71	0	9459	9491	9667	79	14	208	143	32
73	0	9745	9762	9805	43	0	60	17	17
72	0	9609	9667	9834	124	11	225	112	58
0	0	0	0	10022	3331	0	10022	6691	0
